
injection: 262, rbf_PE_time: 1.93 minutes, sim_time: 4.28 minutes
injection: 263, rbf_PE_time: 1.72 minutes, sim_time: 4.38 minutes
injection: 264, rbf_PE_time: 2.48 minutes, sim_time: 5.11 minutes
injection: 265, rbf_PE_time: 1.70 minutes, sim_time: 4.27 minutes
injection: 266, rbf_PE_time: 1.66 minutes, sim_time: 4.82 minutes
injection: 267, rbf_PE_time: 1.88 minutes, sim_time: 4.52 minutes
injection: 268, rbf_PE_time: 1.84 minutes, sim_time: 8.72 minutes
injection: 269, rbf_PE_time: 1.86 minutes, sim_time: 4.32 minutes
injection: 270, rbf_PE_time: 2.22 minutes, sim_time: 4.50 minutes
injection: 271, rbf_PE_time: 1.70 minutes, sim_time: 4.43 minutes
injection: 272, rbf_PE_time: 1.91 minutes, sim_time: 4.16 minutes
injection: 273, rbf_PE_time: 2.03 minutes, sim_time: 4.32 minutes
injection: 274, rbf_PE_time: 1.68 minutes, sim_time: 4.35 minutes
injection: 275, rbf_PE_time: 1.56 minutes, sim_time: 4.31 minutes
injection: 276, rbf_PE_time: 2.74 minutes, sim_time: 5.18 minutes
injection: 277, rbf_PE_time: 2.78 minutes, sim_time: 9.16 minutes
injection: 278, rbf_PE_time: 2.00 minutes, sim_time: 4.67 minutes
injection: 279, rbf_PE_time: 1.79 minutes, sim_time: 4.31 minutes
injection: 280, rbf_PE_time: 1.84 minutes, sim_time: 4.26 minutes
injection: 281, rbf_PE_time: 1.70 minutes, sim_time: 4.20 minutes
injection: 282, rbf_PE_time: 1.77 minutes, sim_time: 4.70 minutes
injection: 283, rbf_PE_time: 1.84 minutes, sim_time: 4.33 minutes
injection: 284, rbf_PE_time: 2.11 minutes, sim_time: 4.41 minutes
injection: 285, rbf_PE_time: 2.07 minutes, sim_time: 4.79 minutes
injection: 286, rbf_PE_time: 1.84 minutes, sim_time: 4.44 minutes
injection: 287, rbf_PE_time: 1.63 minutes, sim_time: 4.03 minutes
injection: 288, rbf_PE_time: 2.03 minutes, sim_time: 4.83 minutes
injection: 289, rbf_PE_time: 2.09 minutes, sim_time: 4.77 minutes
injection: 290, rbf_PE_time: 2.44 minutes, sim_time: 5.18 minutes
injection: 291, rbf_PE_time: 2.63 minutes, sim_time: 4.98 minutes
injection: 292, rbf_PE_time: 1.74 minutes, sim_time: 4.33 minutes
injection: 293, rbf_PE_time: 1.76 minutes, sim_time: 4.17 minutes
injection: 294, rbf_PE_time: 1.63 minutes, sim_time: 3.98 minutes
injection: 295, rbf_PE_time: 2.07 minutes, sim_time: 4.86 minutes
injection: 296, rbf_PE_time: 1.67 minutes, sim_time: 4.18 minutes
injection: 297, rbf_PE_time: 1.95 minutes, sim_time: 4.68 minutes
injection: 298, rbf_PE_time: 1.97 minutes, sim_time: 4.62 minutes
injection: 299, rbf_PE_time: 1.97 minutes, sim_time: 4.60 minutes
injection: 300, rbf_PE_time: 1.61 minutes, sim_time: 4.04 minutes
injection: 301, rbf_PE_time: 1.77 minutes, sim_time: 4.05 minutes
injection: 302, rbf_PE_time: 2.37 minutes, sim_time: 5.89 minutes
injection: 303, rbf_PE_time: 1.69 minutes, sim_time: 4.53 minutes
injection: 304, rbf_PE_time: 1.59 minutes, sim_time: 4.03 minutes
injection: 305, rbf_PE_time: 1.70 minutes, sim_time: 4.37 minutes
injection: 306, rbf_PE_time: 2.24 minutes, sim_time: 5.16 minutes
injection: 307, rbf_PE_time: 1.69 minutes, sim_time: 4.42 minutes
injection: 308, rbf_PE_time: 1.96 minutes, sim_time: 4.27 minutes
injection: 309, rbf_PE_time: 1.68 minutes, sim_time: 4.45 minutes
injection: 310, rbf_PE_time: 1.67 minutes, sim_time: 4.39 minutes
